"Time","image-stats-746c9bfb67-bzkw5"
2025-07-08 14:13:36,35.9 MiB
2025-07-08 14:13:38,35.9 MiB
2025-07-08 14:13:40,35.9 MiB
2025-07-08 14:13:42,35.9 MiB
2025-07-08 14:13:44,35.9 MiB
2025-07-08 14:13:46,35.9 MiB
2025-07-08 14:13:48,35.9 MiB
2025-07-08 14:13:50,35.9 MiB
2025-07-08 14:13:52,35.9 MiB
2025-07-08 14:13:54,35.9 MiB
2025-07-08 14:13:56,35.9 MiB
2025-07-08 14:13:58,35.9 MiB
2025-07-08 14:14:00,36.0 MiB
2025-07-08 14:14:02,36.0 MiB
2025-07-08 14:14:04,36.0 MiB
2025-07-08 14:14:06,36.0 MiB
2025-07-08 14:14:08,36.0 MiB
2025-07-08 14:14:10,36.0 MiB
2025-07-08 14:14:12,36.0 MiB
2025-07-08 14:14:14,36.0 MiB
2025-07-08 14:14:16,36.0 MiB
2025-07-08 14:14:18,36.0 MiB
2025-07-08 14:14:20,36.0 MiB
2025-07-08 14:14:22,36.0 MiB
2025-07-08 14:14:24,36.0 MiB
2025-07-08 14:14:26,36.0 MiB
2025-07-08 14:14:28,36.0 MiB
2025-07-08 14:14:30,36.0 MiB
2025-07-08 14:14:32,36.0 MiB
2025-07-08 14:14:34,36.0 MiB
2025-07-08 14:14:36,36.0 MiB
2025-07-08 14:14:38,36.0 MiB
2025-07-08 14:14:40,36.0 MiB
2025-07-08 14:14:42,36.0 MiB
2025-07-08 14:14:44,36.0 MiB
2025-07-08 14:14:46,36.0 MiB
2025-07-08 14:14:48,36.0 MiB
2025-07-08 14:14:50,36.0 MiB
2025-07-08 14:14:52,36.0 MiB
2025-07-08 14:14:54,36.0 MiB
2025-07-08 14:14:56,36.0 MiB
2025-07-08 14:14:58,36.0 MiB
2025-07-08 14:15:00,36.0 MiB
2025-07-08 14:15:02,36.0 MiB
2025-07-08 14:15:04,36.0 MiB
2025-07-08 14:15:06,36.0 MiB
2025-07-08 14:15:08,36.0 MiB
2025-07-08 14:15:10,36.0 MiB
2025-07-08 14:15:12,36.0 MiB
2025-07-08 14:15:14,36.0 MiB
2025-07-08 14:15:16,36.0 MiB
2025-07-08 14:15:18,36.0 MiB
2025-07-08 14:15:20,36.0 MiB
2025-07-08 14:15:22,36.0 MiB
2025-07-08 14:15:24,36.0 MiB
2025-07-08 14:15:26,36.1 MiB
2025-07-08 14:15:28,36.1 MiB
2025-07-08 14:15:30,36.1 MiB
2025-07-08 14:15:32,36.1 MiB
2025-07-08 14:15:34,36.1 MiB
2025-07-08 14:15:36,36.1 MiB
2025-07-08 14:15:38,36.1 MiB
2025-07-08 14:15:40,36.1 MiB
2025-07-08 14:15:42,36.1 MiB
2025-07-08 14:15:44,36.1 MiB
2025-07-08 14:15:46,36.1 MiB
2025-07-08 14:15:48,36.1 MiB
2025-07-08 14:15:50,36.1 MiB
2025-07-08 14:15:52,36.1 MiB
2025-07-08 14:15:54,36.1 MiB
2025-07-08 14:15:56,36.1 MiB
2025-07-08 14:15:58,36.1 MiB
2025-07-08 14:16:00,36.1 MiB
2025-07-08 14:16:02,36.1 MiB
2025-07-08 14:16:04,36.1 MiB
2025-07-08 14:16:06,36.1 MiB
2025-07-08 14:16:08,36.1 MiB
2025-07-08 14:16:10,36.1 MiB
2025-07-08 14:16:12,36.1 MiB
2025-07-08 14:16:14,36.1 MiB
2025-07-08 14:16:16,35.5 MiB
2025-07-08 14:16:18,35.5 MiB
2025-07-08 14:16:20,35.5 MiB
2025-07-08 14:16:22,35.5 MiB
2025-07-08 14:16:24,35.5 MiB
2025-07-08 14:16:26,35.5 MiB
2025-07-08 14:16:28,35.5 MiB
2025-07-08 14:16:30,35.5 MiB
2025-07-08 14:16:32,35.5 MiB
2025-07-08 14:16:34,35.5 MiB
2025-07-08 14:16:36,35.5 MiB
2025-07-08 14:16:38,35.5 MiB
2025-07-08 14:16:40,35.5 MiB
2025-07-08 14:16:42,35.5 MiB
2025-07-08 14:16:44,36.0 MiB
2025-07-08 14:16:46,36.0 MiB
2025-07-08 14:16:48,36.0 MiB
2025-07-08 14:16:50,36.0 MiB
2025-07-08 14:16:52,36.0 MiB
2025-07-08 14:16:54,36.0 MiB
2025-07-08 14:16:56,36.0 MiB
2025-07-08 14:16:58,36.2 MiB
2025-07-08 14:17:00,36.2 MiB
2025-07-08 14:17:02,36.2 MiB
2025-07-08 14:17:04,36.2 MiB
2025-07-08 14:17:06,36.2 MiB
2025-07-08 14:17:08,36.2 MiB
2025-07-08 14:17:10,36.1 MiB
2025-07-08 14:17:12,36.1 MiB
2025-07-08 14:17:14,36.1 MiB
2025-07-08 14:17:16,36.1 MiB
2025-07-08 14:17:18,36.1 MiB
2025-07-08 14:17:20,36.1 MiB
2025-07-08 14:17:22,36.1 MiB
2025-07-08 14:17:24,36.1 MiB
2025-07-08 14:17:26,36.1 MiB
2025-07-08 14:17:28,36.1 MiB
2025-07-08 14:17:30,36.1 MiB
2025-07-08 14:17:32,36.1 MiB
2025-07-08 14:17:34,36.1 MiB
2025-07-08 14:17:36,36.2 MiB
2025-07-08 14:17:38,36.2 MiB
2025-07-08 14:17:40,36.2 MiB
2025-07-08 14:17:42,36.2 MiB
2025-07-08 14:17:44,36.2 MiB
2025-07-08 14:17:46,36.2 MiB
2025-07-08 14:17:48,36.2 MiB
2025-07-08 14:17:50,36.2 MiB
2025-07-08 14:17:52,36.2 MiB
2025-07-08 14:17:54,36.2 MiB
2025-07-08 14:17:56,36.2 MiB
2025-07-08 14:17:58,36.2 MiB
2025-07-08 14:18:00,36.2 MiB
2025-07-08 14:18:02,36.2 MiB
2025-07-08 14:18:04,36.2 MiB
2025-07-08 14:18:06,36.4 MiB
2025-07-08 14:18:08,36.4 MiB
2025-07-08 14:18:10,36.4 MiB
2025-07-08 14:18:12,36.4 MiB
2025-07-08 14:18:14,36.4 MiB
2025-07-08 14:18:16,36.4 MiB
2025-07-08 14:18:18,36.4 MiB
2025-07-08 14:18:20,36.4 MiB
2025-07-08 14:18:22,36.6 MiB
2025-07-08 14:18:24,36.6 MiB
2025-07-08 14:18:26,36.6 MiB
2025-07-08 14:18:28,36.6 MiB
2025-07-08 14:18:30,36.6 MiB
2025-07-08 14:18:32,36.4 MiB
2025-07-08 14:18:34,36.4 MiB
2025-07-08 14:18:36,36.4 MiB
2025-07-08 14:18:38,36.4 MiB
