"Time","image-preprocess-6c747ff9dc-77b5s"
2025-07-08 14:10:50,85.3 MiB
2025-07-08 14:10:52,85.4 MiB
2025-07-08 14:10:54,85.4 MiB
2025-07-08 14:10:56,85.4 MiB
2025-07-08 14:10:58,85.4 MiB
2025-07-08 14:11:00,85.4 MiB
2025-07-08 14:11:02,85.4 MiB
2025-07-08 14:11:04,85.4 MiB
2025-07-08 14:11:06,85.4 MiB
2025-07-08 14:11:08,85.4 MiB
2025-07-08 14:11:10,85.2 MiB
2025-07-08 14:11:12,85.2 MiB
2025-07-08 14:11:14,85.2 MiB
2025-07-08 14:11:16,85.2 MiB
2025-07-08 14:11:18,85.2 MiB
2025-07-08 14:11:20,85.2 MiB
2025-07-08 14:11:22,85.2 MiB
2025-07-08 14:11:24,85.2 MiB
2025-07-08 14:11:26,85.2 MiB
2025-07-08 14:11:28,85.2 MiB
2025-07-08 14:11:30,85.2 MiB
2025-07-08 14:11:32,85.2 MiB
2025-07-08 14:11:34,85.2 MiB
2025-07-08 14:11:36,85.2 MiB
2025-07-08 14:11:38,85.2 MiB
2025-07-08 14:11:40,85.2 MiB
2025-07-08 14:11:42,85.2 MiB
2025-07-08 14:11:44,85.2 MiB
2025-07-08 14:11:46,85.2 MiB
2025-07-08 14:11:48,85.2 MiB
2025-07-08 14:11:50,85.2 MiB
2025-07-08 14:11:52,85.2 MiB
2025-07-08 14:11:54,85.2 MiB
2025-07-08 14:11:56,85.2 MiB
2025-07-08 14:11:58,85.2 MiB
2025-07-08 14:12:00,85.2 MiB
2025-07-08 14:12:02,85.2 MiB
2025-07-08 14:12:04,85.2 MiB
2025-07-08 14:12:06,85.2 MiB
2025-07-08 14:12:08,85.2 MiB
2025-07-08 14:12:10,85.2 MiB
2025-07-08 14:12:12,85.2 MiB
2025-07-08 14:12:14,85.2 MiB
2025-07-08 14:12:16,85.2 MiB
2025-07-08 14:12:18,85.2 MiB
2025-07-08 14:12:20,85.2 MiB
2025-07-08 14:12:22,135 MiB
2025-07-08 14:12:24,135 MiB
2025-07-08 14:12:26,135 MiB
2025-07-08 14:12:28,135 MiB
2025-07-08 14:12:30,135 MiB
2025-07-08 14:12:32,135 MiB
2025-07-08 14:12:34,135 MiB
2025-07-08 14:12:36,135 MiB
2025-07-08 14:12:38,135 MiB
2025-07-08 14:12:40,85.0 MiB
2025-07-08 14:12:42,85.0 MiB
2025-07-08 14:12:44,85.0 MiB
2025-07-08 14:12:46,85.0 MiB
2025-07-08 14:12:48,85.0 MiB
2025-07-08 14:12:50,85.0 MiB
2025-07-08 14:12:52,85.1 MiB
2025-07-08 14:12:54,85.1 MiB
2025-07-08 14:12:56,85.1 MiB
2025-07-08 14:12:58,85.1 MiB
2025-07-08 14:13:00,85.1 MiB
2025-07-08 14:13:02,85.1 MiB
2025-07-08 14:13:04,85.1 MiB
2025-07-08 14:13:06,85.1 MiB
2025-07-08 14:13:08,85.1 MiB
2025-07-08 14:13:10,85.1 MiB
2025-07-08 14:13:12,85.1 MiB
2025-07-08 14:13:14,85.1 MiB
2025-07-08 14:13:16,85.1 MiB
2025-07-08 14:13:18,85.1 MiB
2025-07-08 14:13:20,85.1 MiB
2025-07-08 14:13:22,85.1 MiB
2025-07-08 14:13:24,85.1 MiB
2025-07-08 14:13:26,85.1 MiB
2025-07-08 14:13:28,85.1 MiB
2025-07-08 14:13:30,85.1 MiB
2025-07-08 14:13:32,85.1 MiB
2025-07-08 14:13:34,85.1 MiB
2025-07-08 14:13:36,85.1 MiB
2025-07-08 14:13:38,85.2 MiB
2025-07-08 14:13:40,85.2 MiB
2025-07-08 14:13:42,85.2 MiB
2025-07-08 14:13:44,85.2 MiB
2025-07-08 14:13:46,85.2 MiB
2025-07-08 14:13:48,85.2 MiB
2025-07-08 14:13:50,85.2 MiB
2025-07-08 14:13:52,85.2 MiB
2025-07-08 14:13:54,85.2 MiB
2025-07-08 14:13:56,85.4 MiB
2025-07-08 14:13:58,85.4 MiB
2025-07-08 14:14:00,85.4 MiB
2025-07-08 14:14:02,85.4 MiB
2025-07-08 14:14:04,85.4 MiB
2025-07-08 14:14:06,85.4 MiB
2025-07-08 14:14:08,85.4 MiB
2025-07-08 14:14:10,85.4 MiB
2025-07-08 14:14:12,85.2 MiB
2025-07-08 14:14:14,85.2 MiB
2025-07-08 14:14:16,85.2 MiB
2025-07-08 14:14:18,85.2 MiB
2025-07-08 14:14:20,85.2 MiB
2025-07-08 14:14:22,85.2 MiB
2025-07-08 14:14:24,85.2 MiB
2025-07-08 14:14:26,85.2 MiB
2025-07-08 14:14:28,85.2 MiB
2025-07-08 14:14:30,85.2 MiB
2025-07-08 14:14:32,85.2 MiB
2025-07-08 14:14:34,85.2 MiB
2025-07-08 14:14:36,85.2 MiB
2025-07-08 14:14:38,85.2 MiB
2025-07-08 14:14:40,85.2 MiB
2025-07-08 14:14:42,85.2 MiB
2025-07-08 14:14:44,85.2 MiB
2025-07-08 14:14:46,85.2 MiB
2025-07-08 14:14:48,85.2 MiB
2025-07-08 14:14:50,85.2 MiB
2025-07-08 14:14:52,85.2 MiB
2025-07-08 14:14:54,85.2 MiB
2025-07-08 14:14:56,85.2 MiB
2025-07-08 14:14:58,85.2 MiB
2025-07-08 14:15:00,85.2 MiB
2025-07-08 14:15:02,85.2 MiB
2025-07-08 14:15:04,85.2 MiB
2025-07-08 14:15:06,85.2 MiB
2025-07-08 14:15:08,85.2 MiB
2025-07-08 14:15:10,85.2 MiB
2025-07-08 14:15:12,85.2 MiB
2025-07-08 14:15:14,85.4 MiB
2025-07-08 14:15:16,85.4 MiB
2025-07-08 14:15:18,85.4 MiB
2025-07-08 14:15:20,85.4 MiB
2025-07-08 14:15:22,85.4 MiB
2025-07-08 14:15:24,85.4 MiB
2025-07-08 14:15:26,85.4 MiB
2025-07-08 14:15:28,85.4 MiB
2025-07-08 14:15:30,85.4 MiB
2025-07-08 14:15:32,85.4 MiB
2025-07-08 14:15:34,85.4 MiB
2025-07-08 14:15:36,85.4 MiB
2025-07-08 14:15:38,85.4 MiB
2025-07-08 14:15:40,85.4 MiB
2025-07-08 14:15:42,85.4 MiB
2025-07-08 14:15:44,85.4 MiB
2025-07-08 14:15:46,85.4 MiB
2025-07-08 14:15:48,85.3 MiB
2025-07-08 14:15:50,85.3 MiB
2025-07-08 14:15:52,85.3 MiB
2025-07-08 14:15:54,85.3 MiB
2025-07-08 14:15:56,85.3 MiB
2025-07-08 14:15:58,85.3 MiB
2025-07-08 14:16:00,83.4 MiB
2025-07-08 14:16:02,83.4 MiB
2025-07-08 14:16:04,83.4 MiB
2025-07-08 14:16:06,83.4 MiB
2025-07-08 14:16:08,83.4 MiB
2025-07-08 14:16:10,83.4 MiB
2025-07-08 14:16:12,83.4 MiB
2025-07-08 14:16:14,83.4 MiB
2025-07-08 14:16:16,83.4 MiB
2025-07-08 14:16:18,86.2 MiB
2025-07-08 14:16:20,86.2 MiB
2025-07-08 14:16:22,86.2 MiB
2025-07-08 14:16:24,86.2 MiB
2025-07-08 14:16:26,86.2 MiB
2025-07-08 14:16:28,133 MiB
2025-07-08 14:16:30,133 MiB
2025-07-08 14:16:32,133 MiB
2025-07-08 14:16:34,133 MiB
2025-07-08 14:16:36,133 MiB
2025-07-08 14:16:38,133 MiB
2025-07-08 14:16:40,133 MiB
2025-07-08 14:16:42,133 MiB
2025-07-08 14:16:44,85.1 MiB
2025-07-08 14:16:46,85.1 MiB
2025-07-08 14:16:48,85.1 MiB
2025-07-08 14:16:50,85.1 MiB
2025-07-08 14:16:52,85.1 MiB
2025-07-08 14:16:54,85.1 MiB
2025-07-08 14:16:56,85.1 MiB
2025-07-08 14:16:58,85.1 MiB
2025-07-08 14:17:00,85.1 MiB
2025-07-08 14:17:02,85.1 MiB
2025-07-08 14:17:04,85.1 MiB
2025-07-08 14:17:06,85.1 MiB
2025-07-08 14:17:08,85.1 MiB
2025-07-08 14:17:10,85.1 MiB
2025-07-08 14:17:12,85.1 MiB
2025-07-08 14:17:14,85.1 MiB
2025-07-08 14:17:16,85.1 MiB
2025-07-08 14:17:18,85.2 MiB
2025-07-08 14:17:20,85.2 MiB
2025-07-08 14:17:22,85.2 MiB
2025-07-08 14:17:24,85.2 MiB
2025-07-08 14:17:26,85.2 MiB
2025-07-08 14:17:28,85.2 MiB
2025-07-08 14:17:30,85.2 MiB
2025-07-08 14:17:32,85.2 MiB
2025-07-08 14:17:34,85.2 MiB
2025-07-08 14:17:36,85.2 MiB
2025-07-08 14:17:38,85.2 MiB
2025-07-08 14:17:40,85.2 MiB
2025-07-08 14:17:42,85.2 MiB
2025-07-08 14:17:44,85.2 MiB
2025-07-08 14:17:46,85.2 MiB
2025-07-08 14:17:48,85.2 MiB
2025-07-08 14:17:50,85.2 MiB
2025-07-08 14:17:52,85.7 MiB
2025-07-08 14:17:54,85.7 MiB
2025-07-08 14:17:56,85.7 MiB
2025-07-08 14:17:58,85.7 MiB
2025-07-08 14:18:00,85.7 MiB
2025-07-08 14:18:02,85.7 MiB
2025-07-08 14:18:04,85.7 MiB
2025-07-08 14:18:06,85.7 MiB
2025-07-08 14:18:08,85.5 MiB
2025-07-08 14:18:10,85.5 MiB
2025-07-08 14:18:12,85.5 MiB
2025-07-08 14:18:14,85.5 MiB
2025-07-08 14:18:16,85.5 MiB
2025-07-08 14:18:18,85.5 MiB
2025-07-08 14:18:20,85.5 MiB
2025-07-08 14:18:22,85.5 MiB
2025-07-08 14:18:24,85.4 MiB
2025-07-08 14:18:26,85.4 MiB
2025-07-08 14:18:28,85.4 MiB
2025-07-08 14:18:30,85.4 MiB
2025-07-08 14:18:32,85.4 MiB
2025-07-08 14:18:34,85.4 MiB
2025-07-08 14:18:36,85.4 MiB
2025-07-08 14:18:38,85.4 MiB
2025-07-08 14:18:40,85.4 MiB
2025-07-08 14:18:42,85.4 MiB
2025-07-08 14:18:44,85.4 MiB
2025-07-08 14:18:46,85.4 MiB
2025-07-08 14:18:48,85.4 MiB
2025-07-08 14:18:50,85.4 MiB
2025-07-08 14:18:52,85.6 MiB
2025-07-08 14:18:54,85.6 MiB
2025-07-08 14:18:56,85.6 MiB
2025-07-08 14:18:58,85.6 MiB
2025-07-08 14:19:00,85.6 MiB
2025-07-08 14:19:02,85.5 MiB
2025-07-08 14:19:04,85.5 MiB
2025-07-08 14:19:06,85.5 MiB
2025-07-08 14:19:08,85.5 MiB
2025-07-08 14:19:10,85.5 MiB
2025-07-08 14:19:12,85.5 MiB
2025-07-08 14:19:14,85.5 MiB
2025-07-08 14:19:16,85.5 MiB
2025-07-08 14:19:18,85.5 MiB
2025-07-08 14:19:20,85.5 MiB
2025-07-08 14:19:22,85.5 MiB
2025-07-08 14:19:24,85.5 MiB
2025-07-08 14:19:26,85.5 MiB
2025-07-08 14:19:28,85.5 MiB
2025-07-08 14:19:30,85.5 MiB
2025-07-08 14:19:32,85.5 MiB
2025-07-08 14:19:34,85.5 MiB
2025-07-08 14:19:36,85.5 MiB
2025-07-08 14:19:38,85.5 MiB
2025-07-08 14:19:40,85.5 MiB
2025-07-08 14:19:42,85.5 MiB
2025-07-08 14:19:44,85.5 MiB
2025-07-08 14:19:46,85.5 MiB
2025-07-08 14:19:48,85.5 MiB
2025-07-08 14:19:50,85.5 MiB
2025-07-08 14:19:52,85.5 MiB
2025-07-08 14:19:54,85.5 MiB
2025-07-08 14:19:56,85.5 MiB
2025-07-08 14:19:58,83.4 MiB
2025-07-08 14:20:00,83.4 MiB
2025-07-08 14:20:02,83.4 MiB
2025-07-08 14:20:04,83.4 MiB
2025-07-08 14:20:06,83.4 MiB
2025-07-08 14:20:08,83.4 MiB
2025-07-08 14:20:10,83.4 MiB
2025-07-08 14:20:12,83.4 MiB
2025-07-08 14:20:14,83.4 MiB
2025-07-08 14:20:16,83.4 MiB
2025-07-08 14:20:18,83.4 MiB
2025-07-08 14:20:20,83.4 MiB
2025-07-08 14:20:22,83.4 MiB
2025-07-08 14:20:24,83.4 MiB
2025-07-08 14:20:26,83.4 MiB
2025-07-08 14:20:28,83.4 MiB
2025-07-08 14:20:30,83.4 MiB
2025-07-08 14:20:32,83.4 MiB
2025-07-08 14:20:34,83.4 MiB
2025-07-08 14:20:36,83.4 MiB
2025-07-08 14:20:38,83.4 MiB
2025-07-08 14:20:40,83.4 MiB
2025-07-08 14:20:42,83.4 MiB
2025-07-08 14:20:44,83.4 MiB
2025-07-08 14:20:46,83.4 MiB
2025-07-08 14:20:48,83.4 MiB
2025-07-08 14:20:50,83.4 MiB
2025-07-08 14:20:52,83.4 MiB
2025-07-08 14:20:54,83.4 MiB
2025-07-08 14:20:56,83.4 MiB
2025-07-08 14:20:58,83.4 MiB
2025-07-08 14:21:00,83.4 MiB
2025-07-08 14:21:02,83.4 MiB
2025-07-08 14:21:04,83.4 MiB
2025-07-08 14:21:06,83.4 MiB
2025-07-08 14:21:08,83.4 MiB
2025-07-08 14:21:10,83.4 MiB
2025-07-08 14:21:12,83.4 MiB
2025-07-08 14:21:14,83.4 MiB
2025-07-08 14:21:16,83.4 MiB
2025-07-08 14:21:18,83.4 MiB
2025-07-08 14:21:20,83.4 MiB
2025-07-08 14:21:22,83.4 MiB
2025-07-08 14:21:24,83.4 MiB
2025-07-08 14:21:26,83.4 MiB
2025-07-08 14:21:28,83.4 MiB
2025-07-08 14:21:30,83.4 MiB
2025-07-08 14:21:32,83.4 MiB
2025-07-08 14:21:34,83.4 MiB
2025-07-08 14:21:36,83.4 MiB
2025-07-08 14:21:38,83.4 MiB
2025-07-08 14:21:40,83.4 MiB
2025-07-08 14:21:42,83.4 MiB
