"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:25:12,286 kB/s
2025-07-07 16:25:13,286 kB/s
2025-07-07 16:25:14,230 kB/s
2025-07-07 16:25:15,234 kB/s
2025-07-07 16:25:16,239 kB/s
2025-07-07 16:25:17,286 kB/s
2025-07-07 16:25:18,286 kB/s
2025-07-07 16:25:19,286 kB/s
2025-07-07 16:25:20,243 kB/s
2025-07-07 16:25:21,238 kB/s
2025-07-07 16:25:22,234 kB/s
2025-07-07 16:25:23,229 kB/s
2025-07-07 16:25:24,343 kB/s
2025-07-07 16:25:25,343 kB/s
2025-07-07 16:25:26,343 kB/s
2025-07-07 16:25:27,343 kB/s
2025-07-07 16:25:28,343 kB/s
2025-07-07 16:25:29,343 kB/s
2025-07-07 16:25:30,343 kB/s
2025-07-07 16:25:31,343 kB/s
2025-07-07 16:25:32,343 kB/s
2025-07-07 16:25:33,343 kB/s
2025-07-07 16:25:34,343 kB/s
2025-07-07 16:25:35,343 kB/s
2025-07-07 16:25:36,343 kB/s
2025-07-07 16:25:37,343 kB/s
2025-07-07 16:25:38,343 kB/s
2025-07-07 16:25:39,343 kB/s
2025-07-07 16:25:40,343 kB/s
2025-07-07 16:25:41,343 kB/s
2025-07-07 16:25:42,343 kB/s
2025-07-07 16:25:43,343 kB/s
2025-07-07 16:25:44,281 kB/s
2025-07-07 16:25:45,287 kB/s
2025-07-07 16:25:46,293 kB/s
2025-07-07 16:25:47,299 kB/s
2025-07-07 16:25:48,305 kB/s
2025-07-07 16:25:49,357 kB/s
2025-07-07 16:25:50,357 kB/s
2025-07-07 16:25:51,357 kB/s
2025-07-07 16:25:52,357 kB/s
2025-07-07 16:25:53,357 kB/s
2025-07-07 16:25:54,357 kB/s
2025-07-07 16:25:55,357 kB/s
2025-07-07 16:25:56,357 kB/s
2025-07-07 16:25:57,357 kB/s
2025-07-07 16:25:58,357 kB/s
2025-07-07 16:25:59,305 kB/s
2025-07-07 16:26:00,299 kB/s
2025-07-07 16:26:01,293 kB/s
2025-07-07 16:26:02,287 kB/s
2025-07-07 16:26:03,281 kB/s
2025-07-07 16:26:04,225 kB/s
2025-07-07 16:26:05,229 kB/s
2025-07-07 16:26:06,234 kB/s
2025-07-07 16:26:07,239 kB/s
2025-07-07 16:26:08,244 kB/s
2025-07-07 16:26:09,286 kB/s
2025-07-07 16:26:10,286 kB/s
2025-07-07 16:26:11,286 kB/s
2025-07-07 16:26:12,286 kB/s
2025-07-07 16:26:13,286 kB/s
2025-07-07 16:26:14,343 kB/s
2025-07-07 16:26:15,343 kB/s
2025-07-07 16:26:16,343 kB/s
2025-07-07 16:26:17,343 kB/s
2025-07-07 16:26:18,343 kB/s
2025-07-07 16:26:19,343 kB/s
2025-07-07 16:26:20,343 kB/s
2025-07-07 16:26:21,343 kB/s
2025-07-07 16:26:22,343 kB/s
2025-07-07 16:26:23,343 kB/s
2025-07-07 16:26:24,358 kB/s
2025-07-07 16:26:25,358 kB/s
2025-07-07 16:26:26,358 kB/s
2025-07-07 16:26:27,358 kB/s
2025-07-07 16:26:28,358 kB/s
2025-07-07 16:26:29,306 kB/s
2025-07-07 16:26:30,300 kB/s
2025-07-07 16:26:31,294 kB/s
2025-07-07 16:26:32,288 kB/s
2025-07-07 16:26:33,282 kB/s
2025-07-07 16:26:34,344 kB/s
2025-07-07 16:26:35,344 kB/s
2025-07-07 16:26:36,344 kB/s
2025-07-07 16:26:37,344 kB/s
2025-07-07 16:26:38,344 kB/s
2025-07-07 16:26:39,344 kB/s
2025-07-07 16:26:40,344 kB/s
2025-07-07 16:26:41,344 kB/s
2025-07-07 16:26:42,344 kB/s
2025-07-07 16:26:43,344 kB/s
2025-07-07 16:26:44,281 kB/s
2025-07-07 16:26:45,287 kB/s
2025-07-07 16:26:46,293 kB/s
2025-07-07 16:26:47,299 kB/s
2025-07-07 16:26:48,305 kB/s
2025-07-07 16:26:49,358 kB/s
2025-07-07 16:26:50,358 kB/s
2025-07-07 16:26:51,358 kB/s
2025-07-07 16:26:52,358 kB/s
2025-07-07 16:26:53,358 kB/s
2025-07-07 16:26:54,358 kB/s
2025-07-07 16:26:55,358 kB/s
2025-07-07 16:26:56,358 kB/s
2025-07-07 16:26:57,358 kB/s
2025-07-07 16:26:58,358 kB/s
2025-07-07 16:26:59,307 kB/s
2025-07-07 16:27:00,301 kB/s
2025-07-07 16:27:01,295 kB/s
2025-07-07 16:27:02,289 kB/s
