"Time","image-filter-cfbfd9b5f-k58vn"
2025-07-07 16:24:00,0.000733 cores
2025-07-07 16:24:01,0.000716 cores
2025-07-07 16:24:02,0.000699 cores
2025-07-07 16:24:03,0.000682 cores
2025-07-07 16:24:04,0.00116 cores
2025-07-07 16:24:05,0.00116 cores
2025-07-07 16:24:06,0.00116 cores
2025-07-07 16:24:07,0.00116 cores
2025-07-07 16:24:08,0.00116 cores
2025-07-07 16:24:09,0.00116 cores
2025-07-07 16:24:10,0.00116 cores
2025-07-07 16:24:11,0.00116 cores
2025-07-07 16:24:12,0.00116 cores
2025-07-07 16:24:13,0.00122 cores
2025-07-07 16:24:14,0.00122 cores
2025-07-07 16:24:15,0.00122 cores
2025-07-07 16:24:16,0.00122 cores
2025-07-07 16:24:17,0.00122 cores
2025-07-07 16:24:18,0.00122 cores
2025-07-07 16:24:19,0.00122 cores
2025-07-07 16:24:20,0.00122 cores
2025-07-07 16:24:21,0.00122 cores
2025-07-07 16:24:22,0.00122 cores
2025-07-07 16:24:23,0.00118 cores
2025-07-07 16:24:24,0.00118 cores
2025-07-07 16:24:25,0.00118 cores
2025-07-07 16:24:26,0.00121 cores
2025-07-07 16:24:27,0.00121 cores
2025-07-07 16:24:28,0.00121 cores
2025-07-07 16:24:29,0.00121 cores
2025-07-07 16:24:30,0.00121 cores
2025-07-07 16:24:31,0.00121 cores
2025-07-07 16:24:32,0.00121 cores
2025-07-07 16:24:33,0.00121 cores
2025-07-07 16:24:34,0.00121 cores
2025-07-07 16:24:35,0.00121 cores
2025-07-07 16:24:36,0.00121 cores
2025-07-07 16:24:37,0.000802 cores
2025-07-07 16:24:38,0.000821 cores
2025-07-07 16:24:39,0.000839 cores
2025-07-07 16:24:40,0.000857 cores
2025-07-07 16:24:41,0.000987 cores
2025-07-07 16:24:42,0.00101 cores
2025-07-07 16:24:43,0.00125 cores
2025-07-07 16:24:44,0.00125 cores
2025-07-07 16:24:45,0.00125 cores
2025-07-07 16:24:46,0.00125 cores
2025-07-07 16:24:47,0.00125 cores
2025-07-07 16:24:48,0.00125 cores
2025-07-07 16:24:49,0.00125 cores
2025-07-07 16:24:50,0.00125 cores
2025-07-07 16:24:51,0.00125 cores
2025-07-07 16:24:52,0.00125 cores
2025-07-07 16:24:53,0.00120 cores
2025-07-07 16:24:54,0.00120 cores
2025-07-07 16:24:55,0.00120 cores
2025-07-07 16:24:56,0.00120 cores
2025-07-07 16:24:57,0.00120 cores
2025-07-07 16:24:58,0.00120 cores
2025-07-07 16:24:59,0.00120 cores
2025-07-07 16:25:00,0.00120 cores
2025-07-07 16:25:01,0.00120 cores
2025-07-07 16:25:02,0.00120 cores
2025-07-07 16:25:03,0.00120 cores
2025-07-07 16:25:04,0.00102 cores
2025-07-07 16:25:05,0.00104 cores
2025-07-07 16:25:06,0.00107 cores
2025-07-07 16:25:07,0.00126 cores
2025-07-07 16:25:08,0.00126 cores
2025-07-07 16:25:09,0.00107 cores
2025-07-07 16:25:10,0.00105 cores
2025-07-07 16:25:11,0.00103 cores
2025-07-07 16:25:12,0.00101 cores
2025-07-07 16:25:13,0.000985 cores
2025-07-07 16:25:14,0.000964 cores
2025-07-07 16:25:15,0.000943 cores
2025-07-07 16:25:16,0.000922 cores
2025-07-07 16:25:17,0.000900 cores
2025-07-07 16:25:18,0.000879 cores
2025-07-07 16:25:19,0.000858 cores
2025-07-07 16:25:20,0.000837 cores
2025-07-07 16:25:21,0.000816 cores
2025-07-07 16:25:22,0.000795 cores
2025-07-07 16:25:23,0.00104 cores
2025-07-07 16:25:24,0.00104 cores
2025-07-07 16:25:25,0.00104 cores
2025-07-07 16:25:26,0.00104 cores
2025-07-07 16:25:27,0.00104 cores
2025-07-07 16:25:28,0.00104 cores
2025-07-07 16:25:29,0.00104 cores
2025-07-07 16:25:30,0.00104 cores
2025-07-07 16:25:31,0.00104 cores
2025-07-07 16:25:32,0.00104 cores
2025-07-07 16:25:33,0.00104 cores
2025-07-07 16:25:34,0.00103 cores
2025-07-07 16:25:35,0.00103 cores
2025-07-07 16:25:36,0.00103 cores
2025-07-07 16:25:37,0.00103 cores
2025-07-07 16:25:38,0.00103 cores
2025-07-07 16:25:39,0.00103 cores
2025-07-07 16:25:40,0.00103 cores
2025-07-07 16:25:41,0.00103 cores
2025-07-07 16:25:42,0.00103 cores
2025-07-07 16:25:43,0.00103 cores
2025-07-07 16:25:44,0.00101 cores
2025-07-07 16:25:45,0.00101 cores
2025-07-07 16:25:46,0.00101 cores
2025-07-07 16:25:47,0.00101 cores
2025-07-07 16:25:48,0.00101 cores
2025-07-07 16:25:49,0.00101 cores
2025-07-07 16:25:50,0.00101 cores
2025-07-07 16:25:51,0.00101 cores
2025-07-07 16:25:52,0.00101 cores
2025-07-07 16:25:53,0.000563 cores
2025-07-07 16:25:54,0.000579 cores
2025-07-07 16:25:55,0.000491 cores
2025-07-07 16:25:56,0.000601 cores
2025-07-07 16:25:57,0.000616 cores
2025-07-07 16:25:58,0.000632 cores
2025-07-07 16:25:59,0.000647 cores
2025-07-07 16:26:00,0.000663 cores
2025-07-07 16:26:01,0.000679 cores
2025-07-07 16:26:02,0.000694 cores
2025-07-07 16:26:03,0.000710 cores
2025-07-07 16:26:04,0.000725 cores
2025-07-07 16:26:05,0.000741 cores
2025-07-07 16:26:06,0.000757 cores
2025-07-07 16:26:07,0.000670 cores
