"Time","image-stats-746c9bfb67-8h4gh"
2025-07-07 16:24:04,0.00131 cores
2025-07-07 16:24:05,0.00131 cores
2025-07-07 16:24:06,0.00131 cores
2025-07-07 16:24:07,0.00131 cores
2025-07-07 16:24:08,0.00131 cores
2025-07-07 16:24:09,0.00131 cores
2025-07-07 16:24:10,0.00131 cores
2025-07-07 16:24:11,0.00131 cores
2025-07-07 16:24:12,0.00131 cores
2025-07-07 16:24:13,0.00112 cores
2025-07-07 16:24:14,0.00110 cores
2025-07-07 16:24:15,0.00108 cores
2025-07-07 16:24:16,0.00123 cores
2025-07-07 16:24:17,0.00123 cores
2025-07-07 16:24:18,0.00118 cores
2025-07-07 16:24:19,0.00118 cores
2025-07-07 16:24:20,0.00118 cores
2025-07-07 16:24:21,0.00118 cores
2025-07-07 16:24:22,0.00118 cores
2025-07-07 16:24:23,0.00118 cores
2025-07-07 16:24:24,0.00118 cores
2025-07-07 16:24:25,0.00118 cores
2025-07-07 16:24:26,0.00118 cores
2025-07-07 16:24:27,0.00114 cores
2025-07-07 16:24:28,0.00114 cores
2025-07-07 16:24:29,0.00114 cores
2025-07-07 16:24:30,0.00111 cores
2025-07-07 16:24:31,0.00111 cores
2025-07-07 16:24:32,0.00111 cores
2025-07-07 16:24:33,0.00111 cores
2025-07-07 16:24:34,0.00111 cores
2025-07-07 16:24:35,0.00111 cores
2025-07-07 16:24:36,0.00111 cores
2025-07-07 16:24:37,0.00111 cores
2025-07-07 16:24:38,0.00111 cores
2025-07-07 16:24:39,0.00111 cores
2025-07-07 16:24:40,0.00111 cores
2025-07-07 16:24:41,0.000860 cores
2025-07-07 16:24:42,0.00102 cores
2025-07-07 16:24:43,0.000863 cores
2025-07-07 16:24:44,0.000846 cores
2025-07-07 16:24:45,0.000829 cores
2025-07-07 16:24:46,0.000812 cores
2025-07-07 16:24:47,0.000795 cores
2025-07-07 16:24:48,0.000778 cores
2025-07-07 16:24:49,0.000761 cores
2025-07-07 16:24:50,0.000744 cores
2025-07-07 16:24:51,0.00110 cores
2025-07-07 16:24:52,0.00110 cores
2025-07-07 16:24:53,0.00110 cores
2025-07-07 16:24:54,0.00110 cores
2025-07-07 16:24:55,0.00110 cores
2025-07-07 16:24:56,0.00110 cores
2025-07-07 16:24:57,0.00110 cores
2025-07-07 16:24:58,0.00113 cores
2025-07-07 16:24:59,0.00113 cores
2025-07-07 16:25:00,0.00113 cores
2025-07-07 16:25:01,0.00113 cores
2025-07-07 16:25:02,0.00113 cores
2025-07-07 16:25:03,0.00113 cores
2025-07-07 16:25:04,0.00113 cores
2025-07-07 16:25:05,0.00105 cores
2025-07-07 16:25:06,0.00105 cores
2025-07-07 16:25:07,0.00105 cores
2025-07-07 16:25:08,0.00105 cores
2025-07-07 16:25:09,0.00105 cores
2025-07-07 16:25:10,0.00105 cores
2025-07-07 16:25:11,0.00105 cores
2025-07-07 16:25:12,0.00105 cores
2025-07-07 16:25:13,0.00105 cores
2025-07-07 16:25:14,0.00105 cores
2025-07-07 16:25:15,0.00105 cores
2025-07-07 16:25:16,0.00108 cores
2025-07-07 16:25:17,0.00108 cores
2025-07-07 16:25:18,0.00108 cores
2025-07-07 16:25:19,0.00108 cores
2025-07-07 16:25:20,0.00108 cores
2025-07-07 16:25:21,0.00108 cores
2025-07-07 16:25:22,0.00108 cores
2025-07-07 16:25:23,0.00108 cores
2025-07-07 16:25:24,0.00108 cores
2025-07-07 16:25:25,0.00108 cores
2025-07-07 16:25:26,0.00106 cores
2025-07-07 16:25:27,0.000683 cores
2025-07-07 16:25:28,0.000699 cores
2025-07-07 16:25:29,0.000715 cores
2025-07-07 16:25:30,0.000731 cores
2025-07-07 16:25:31,0.000747 cores
2025-07-07 16:25:32,0.000763 cores
2025-07-07 16:25:33,0.000779 cores
2025-07-07 16:25:34,0.000795 cores
2025-07-07 16:25:35,0.000811 cores
2025-07-07 16:25:36,0.000828 cores
2025-07-07 16:25:37,0.000844 cores
2025-07-07 16:25:38,0.000965 cores
2025-07-07 16:25:39,0.000850 cores
2025-07-07 16:25:40,0.000834 cores
2025-07-07 16:25:41,0.000818 cores
2025-07-07 16:25:42,0.000802 cores
2025-07-07 16:25:43,0.000786 cores
2025-07-07 16:25:44,0.000770 cores
2025-07-07 16:25:45,0.000754 cores
2025-07-07 16:25:46,0.000738 cores
2025-07-07 16:25:47,0.000721 cores
2025-07-07 16:25:48,0.000937 cores
2025-07-07 16:25:49,0.000937 cores
2025-07-07 16:25:50,0.000937 cores
2025-07-07 16:25:51,0.000971 cores
2025-07-07 16:25:52,0.000971 cores
2025-07-07 16:25:53,0.000971 cores
2025-07-07 16:25:54,0.000971 cores
2025-07-07 16:25:55,0.000971 cores
2025-07-07 16:25:56,0.000971 cores
2025-07-07 16:25:57,0.000971 cores
2025-07-07 16:25:58,0.000971 cores
2025-07-07 16:25:59,0.000971 cores
2025-07-07 16:26:00,0.000971 cores
2025-07-07 16:26:01,0.000971 cores
2025-07-07 16:26:02,0.000971 cores
2025-07-07 16:26:03,0.000971 cores
2025-07-07 16:26:04,0.000817 cores
2025-07-07 16:26:05,0.000952 cores
2025-07-07 16:26:06,0.000952 cores
2025-07-07 16:26:07,0.000952 cores
2025-07-07 16:26:08,0.000952 cores
2025-07-07 16:26:09,0.000952 cores
2025-07-07 16:26:10,0.000952 cores
2025-07-07 16:26:11,0.000952 cores
2025-07-07 16:26:12,0.000952 cores
2025-07-07 16:26:13,0.000952 cores
2025-07-07 16:26:14,0.000952 cores
2025-07-07 16:26:15,0.000952 cores
2025-07-07 16:26:16,0.000952 cores
2025-07-07 16:26:17,0.000952 cores
2025-07-07 16:26:18,0.000952 cores
2025-07-07 16:26:19,0.000991 cores
2025-07-07 16:26:20,0.000991 cores
2025-07-07 16:26:21,0.000991 cores
2025-07-07 16:26:22,0.000991 cores
2025-07-07 16:26:23,0.000991 cores
2025-07-07 16:26:24,0.000991 cores
2025-07-07 16:26:25,0.000991 cores
2025-07-07 16:26:26,0.000820 cores
2025-07-07 16:26:27,0.000838 cores
2025-07-07 16:26:28,0.000856 cores
2025-07-07 16:26:29,0.000837 cores
2025-07-07 16:26:30,0.000854 cores
2025-07-07 16:26:31,0.000872 cores
2025-07-07 16:26:32,0.000889 cores
2025-07-07 16:26:33,0.00104 cores
2025-07-07 16:26:34,0.00104 cores
2025-07-07 16:26:35,0.00104 cores
2025-07-07 16:26:36,0.00104 cores
2025-07-07 16:26:37,0.00104 cores
2025-07-07 16:26:38,0.00104 cores
2025-07-07 16:26:39,0.00104 cores
2025-07-07 16:26:40,0.00104 cores
2025-07-07 16:26:41,0.00104 cores
2025-07-07 16:26:42,0.00104 cores
2025-07-07 16:26:43,0.00107 cores
2025-07-07 16:26:44,0.00107 cores
2025-07-07 16:26:45,0.00107 cores
2025-07-07 16:26:46,0.00107 cores
2025-07-07 16:26:47,0.00107 cores
2025-07-07 16:26:48,0.000904 cores
2025-07-07 16:26:49,0.000922 cores
2025-07-07 16:26:50,0.000940 cores
2025-07-07 16:26:51,0.00108 cores
2025-07-07 16:26:52,0.00108 cores
2025-07-07 16:26:53,0.00108 cores
2025-07-07 16:26:54,0.00108 cores
2025-07-07 16:26:55,0.00108 cores
2025-07-07 16:26:56,0.00108 cores
2025-07-07 16:26:57,0.000937 cores
2025-07-07 16:26:58,0.000919 cores
2025-07-07 16:26:59,0.000901 cores
2025-07-07 16:27:00,0.000883 cores
2025-07-07 16:27:01,0.000865 cores
2025-07-07 16:27:02,0.00104 cores
2025-07-07 16:27:03,0.00104 cores
2025-07-07 16:27:04,0.00104 cores
2025-07-07 16:27:05,0.00102 cores
2025-07-07 16:27:06,0.00102 cores
2025-07-07 16:27:07,0.00102 cores
2025-07-07 16:27:08,0.00102 cores
2025-07-07 16:27:09,0.00102 cores
2025-07-07 16:27:10,0.00102 cores
2025-07-07 16:27:11,0.00102 cores
2025-07-07 16:27:12,0.00102 cores
2025-07-07 16:27:13,0.00102 cores
2025-07-07 16:27:14,0.00102 cores
2025-07-07 16:27:15,0.00102 cores
2025-07-07 16:27:16,0.00102 cores
2025-07-07 16:27:17,0.00102 cores
2025-07-07 16:27:18,0.00102 cores
2025-07-07 16:27:19,0.00104 cores
2025-07-07 16:27:20,0.00104 cores
2025-07-07 16:27:21,0.000952 cores
2025-07-07 16:27:22,0.000952 cores
2025-07-07 16:27:23,0.000952 cores
2025-07-07 16:27:24,0.000952 cores
2025-07-07 16:27:25,0.000952 cores
2025-07-07 16:27:26,0.000952 cores
2025-07-07 16:27:27,0.000952 cores
2025-07-07 16:27:28,0.000952 cores
2025-07-07 16:27:29,0.000876 cores
2025-07-07 16:27:30,0.000876 cores
2025-07-07 16:27:31,0.000876 cores
2025-07-07 16:27:32,0.000876 cores
2025-07-07 16:27:33,0.000814 cores
2025-07-07 16:27:34,0.000814 cores
2025-07-07 16:27:35,0.000814 cores
2025-07-07 16:27:36,0.000814 cores
2025-07-07 16:27:37,0.000814 cores
2025-07-07 16:27:38,0.000814 cores
2025-07-07 16:27:39,0.000814 cores
2025-07-07 16:27:40,0.000814 cores
2025-07-07 16:27:41,0.000814 cores
2025-07-07 16:27:42,0.000814 cores
2025-07-07 16:27:43,0.000587 cores
2025-07-07 16:27:44,0.000599 cores
2025-07-07 16:27:45,0.000579 cores
2025-07-07 16:27:46,0.000590 cores
2025-07-07 16:27:47,0.000692 cores
2025-07-07 16:27:48,0.000692 cores
2025-07-07 16:27:49,0.000692 cores
2025-07-07 16:27:50,0.000692 cores
2025-07-07 16:27:51,0.000692 cores
2025-07-07 16:27:52,0.000692 cores
2025-07-07 16:27:53,0.000692 cores
2025-07-07 16:27:54,0.000692 cores
2025-07-07 16:27:55,0.000692 cores
2025-07-07 16:27:56,0.000670 cores
2025-07-07 16:27:57,0.000670 cores
2025-07-07 16:27:58,0.000670 cores
2025-07-07 16:27:59,0.000670 cores
2025-07-07 16:28:00,0.000670 cores
2025-07-07 16:28:01,0.000670 cores
2025-07-07 16:28:02,0.000479 cores
2025-07-07 16:28:03,0.000489 cores
2025-07-07 16:28:04,0.000499 cores
2025-07-07 16:28:05,0.000509 cores
2025-07-07 16:28:06,0.000519 cores
2025-07-07 16:28:07,0.000529 cores
2025-07-07 16:28:08,0.000604 cores
2025-07-07 16:28:09,0.000527 cores
2025-07-07 16:28:10,0.000517 cores
2025-07-07 16:28:11,0.000507 cores
2025-07-07 16:28:12,0.000497 cores
2025-07-07 16:28:13,0.000650 cores
2025-07-07 16:28:14,0.000650 cores
2025-07-07 16:28:15,0.000650 cores
2025-07-07 16:28:16,0.000650 cores
2025-07-07 16:28:17,0.000650 cores
2025-07-07 16:28:18,0.000650 cores
2025-07-07 16:28:19,0.000650 cores
2025-07-07 16:28:20,0.000650 cores
2025-07-07 16:28:21,0.000660 cores
2025-07-07 16:28:22,0.000660 cores
2025-07-07 16:28:23,0.000660 cores
2025-07-07 16:28:24,0.000658 cores
2025-07-07 16:28:25,0.000658 cores
2025-07-07 16:28:26,0.000658 cores
2025-07-07 16:28:27,0.000658 cores
2025-07-07 16:28:28,0.000658 cores
2025-07-07 16:28:29,0.000658 cores
2025-07-07 16:28:30,0.000658 cores
2025-07-07 16:28:31,0.000658 cores
2025-07-07 16:28:32,0.000658 cores
2025-07-07 16:28:33,0.000672 cores
2025-07-07 16:28:34,0.000672 cores
2025-07-07 16:28:35,0.000672 cores
2025-07-07 16:28:36,0.000672 cores
2025-07-07 16:28:37,0.000672 cores
2025-07-07 16:28:38,0.000582 cores
2025-07-07 16:28:39,0.000570 cores
2025-07-07 16:28:40,0.000672 cores
2025-07-07 16:28:41,0.000672 cores
2025-07-07 16:28:42,0.000672 cores
2025-07-07 16:28:43,0.000672 cores
2025-07-07 16:28:44,0.000672 cores
2025-07-07 16:28:45,0.000694 cores
2025-07-07 16:28:46,0.000694 cores
2025-07-07 16:28:47,0.000694 cores
2025-07-07 16:28:48,0.000694 cores
2025-07-07 16:28:49,0.000694 cores
2025-07-07 16:28:50,0.000694 cores
2025-07-07 16:28:51,0.000694 cores
2025-07-07 16:28:52,0.000694 cores
2025-07-07 16:28:53,0.000694 cores
2025-07-07 16:28:54,0.000694 cores
2025-07-07 16:28:55,0.000694 cores
2025-07-07 16:28:56,0.000441 cores
2025-07-07 16:28:57,0.000441 cores
2025-07-07 16:28:58,0.000731 cores
2025-07-07 16:28:59,0.000731 cores
2025-07-07 16:29:00,0.000731 cores
