"Time","image-preprocess-6b97b856cf-8wm7g"
2025-07-07 16:27:18,0.0170 cores
2025-07-07 16:27:19,0.0170 cores
2025-07-07 16:27:20,0.0170 cores
2025-07-07 16:27:21,0.0170 cores
2025-07-07 16:27:22,0.0170 cores
2025-07-07 16:27:23,0.0170 cores
2025-07-07 16:27:24,0.0170 cores
2025-07-07 16:27:25,0.0170 cores
2025-07-07 16:27:26,0.0157 cores
2025-07-07 16:27:27,0.0157 cores
2025-07-07 16:27:28,0.0157 cores
2025-07-07 16:27:29,0.0157 cores
2025-07-07 16:27:30,0.0157 cores
2025-07-07 16:27:31,0.0105 cores
2025-07-07 16:27:32,0.0105 cores
2025-07-07 16:27:33,0.0105 cores
2025-07-07 16:27:34,0.0105 cores
2025-07-07 16:27:35,0.0105 cores
2025-07-07 16:27:36,0.0105 cores
2025-07-07 16:27:37,0.0105 cores
2025-07-07 16:27:38,0.0105 cores
2025-07-07 16:27:39,0.00643 cores
2025-07-07 16:27:40,0.00643 cores
2025-07-07 16:27:41,0.00643 cores
2025-07-07 16:27:42,0.00643 cores
2025-07-07 16:27:43,0.00643 cores
2025-07-07 16:27:44,0.00643 cores
2025-07-07 16:27:45,0.00643 cores
2025-07-07 16:27:46,0.00643 cores
2025-07-07 16:27:47,0.00643 cores
2025-07-07 16:27:48,0.00643 cores
2025-07-07 16:27:49,0.00447 cores
2025-07-07 16:27:50,0.00447 cores
2025-07-07 16:27:51,0.00447 cores
2025-07-07 16:27:52,0.00447 cores
2025-07-07 16:27:53,0.00447 cores
2025-07-07 16:27:54,0.00447 cores
2025-07-07 16:27:55,0.000570 cores
2025-07-07 16:27:56,0.000570 cores
2025-07-07 16:27:57,0.000570 cores
2025-07-07 16:27:58,0.000570 cores
2025-07-07 16:27:59,0.000570 cores
2025-07-07 16:28:00,0.000570 cores
2025-07-07 16:28:01,0.000570 cores
2025-07-07 16:28:02,0.000570 cores
2025-07-07 16:28:03,0.000570 cores
2025-07-07 16:28:04,0.000570 cores
2025-07-07 16:28:05,0.000597 cores
2025-07-07 16:28:06,0.000597 cores
2025-07-07 16:28:07,0.000597 cores
2025-07-07 16:28:08,0.000597 cores
2025-07-07 16:28:09,0.000597 cores
2025-07-07 16:28:10,0.000597 cores
2025-07-07 16:28:11,0.000597 cores
2025-07-07 16:28:12,0.000597 cores
2025-07-07 16:28:13,0.000619 cores
2025-07-07 16:28:14,0.000619 cores
2025-07-07 16:28:15,0.000619 cores
2025-07-07 16:28:16,0.000619 cores
2025-07-07 16:28:17,0.000619 cores
2025-07-07 16:28:18,0.000619 cores
2025-07-07 16:28:19,0.000619 cores
2025-07-07 16:28:20,0.000619 cores
2025-07-07 16:28:21,0.000621 cores
2025-07-07 16:28:22,0.000621 cores
2025-07-07 16:28:23,0.000621 cores
2025-07-07 16:28:24,0.000621 cores
2025-07-07 16:28:25,0.000621 cores
2025-07-07 16:28:26,0.000621 cores
2025-07-07 16:28:27,0.000621 cores
2025-07-07 16:28:28,0.000621 cores
2025-07-07 16:28:29,0.000621 cores
2025-07-07 16:28:30,0.000621 cores
2025-07-07 16:28:31,0.000538 cores
2025-07-07 16:28:32,0.000641 cores
2025-07-07 16:28:33,0.000641 cores
2025-07-07 16:28:34,0.000641 cores
2025-07-07 16:28:35,0.000641 cores
2025-07-07 16:28:36,0.000606 cores
2025-07-07 16:28:37,0.000606 cores
2025-07-07 16:28:38,0.000606 cores
2025-07-07 16:28:39,0.000606 cores
2025-07-07 16:28:40,0.000606 cores
2025-07-07 16:28:41,0.000606 cores
2025-07-07 16:28:42,0.000606 cores
2025-07-07 16:28:43,0.000606 cores
2025-07-07 16:28:44,0.000606 cores
2025-07-07 16:28:45,0.000606 cores
2025-07-07 16:28:46,0.000606 cores
2025-07-07 16:28:47,0.000606 cores
2025-07-07 16:28:48,0.000606 cores
2025-07-07 16:28:49,0.000581 cores
2025-07-07 16:28:50,0.000581 cores
2025-07-07 16:28:51,0.000581 cores
2025-07-07 16:28:52,0.000581 cores
2025-07-07 16:28:53,0.000581 cores
2025-07-07 16:28:54,0.000731 cores
2025-07-07 16:28:55,0.000731 cores
2025-07-07 16:28:56,0.000731 cores
2025-07-07 16:28:57,0.000731 cores
2025-07-07 16:28:58,0.000731 cores
2025-07-07 16:28:59,0.000731 cores
2025-07-07 16:29:00,0.000731 cores
