"Time","{instance=""worker3"", interface=""lxc53e184f941ad""}"
2025-07-07 10:50:21,13.9 MB/s
2025-07-07 10:50:22,13.9 MB/s
2025-07-07 10:50:23,13.9 MB/s
2025-07-07 10:50:24,13.9 MB/s
2025-07-07 10:50:25,13.9 MB/s
2025-07-07 10:50:26,13.9 MB/s
2025-07-07 10:50:27,13.9 MB/s
2025-07-07 10:50:28,13.9 MB/s
2025-07-07 10:50:29,13.9 MB/s
2025-07-07 10:50:30,8.27 MB/s
2025-07-07 10:50:31,8.44 MB/s
2025-07-07 10:50:32,8.62 MB/s
2025-07-07 10:50:33,8.79 MB/s
2025-07-07 10:50:34,8.97 MB/s
2025-07-07 10:50:35,10.5 MB/s
2025-07-07 10:50:36,10.5 MB/s
2025-07-07 10:50:37,10.5 MB/s
2025-07-07 10:50:38,10.5 MB/s
2025-07-07 10:50:39,10.5 MB/s
2025-07-07 10:50:40,10.5 MB/s
2025-07-07 10:50:41,10.5 MB/s
2025-07-07 10:50:42,10.5 MB/s
2025-07-07 10:50:43,10.5 MB/s
2025-07-07 10:50:44,10.5 MB/s
2025-07-07 10:50:45,8.93 MB/s
2025-07-07 10:50:46,8.76 MB/s
2025-07-07 10:50:47,8.59 MB/s
2025-07-07 10:50:48,8.41 MB/s
2025-07-07 10:50:49,8.24 MB/s
2025-07-07 10:50:50,5.58 MB/s
2025-07-07 10:50:51,5.58 MB/s
2025-07-07 10:50:52,5.58 MB/s
2025-07-07 10:50:53,5.58 MB/s
2025-07-07 10:50:54,5.58 MB/s
2025-07-07 10:50:55,5.58 MB/s
2025-07-07 10:50:56,5.58 MB/s
2025-07-07 10:50:57,5.58 MB/s
2025-07-07 10:50:58,5.58 MB/s
2025-07-07 10:50:59,5.58 MB/s
2025-07-07 10:51:00,366 B/s
2025-07-07 10:51:01,373 B/s
2025-07-07 10:51:02,381 B/s
2025-07-07 10:51:03,389 B/s
2025-07-07 10:51:04,397 B/s
2025-07-07 10:51:05,465 B/s
2025-07-07 10:51:06,465 B/s
2025-07-07 10:51:07,465 B/s
2025-07-07 10:51:08,465 B/s
2025-07-07 10:51:09,465 B/s
2025-07-07 10:51:10,465 B/s
2025-07-07 10:51:11,465 B/s
2025-07-07 10:51:12,465 B/s
2025-07-07 10:51:13,465 B/s
2025-07-07 10:51:14,465 B/s
