"Time","image-filter-cfbfd9b5f-zgrv9"
2025-07-07 10:48:37,0.000893 cores
2025-07-07 10:48:38,0.000893 cores
2025-07-07 10:48:39,0.00189 cores
2025-07-07 10:48:40,0.00189 cores
2025-07-07 10:48:41,0.00189 cores
2025-07-07 10:48:42,0.00189 cores
2025-07-07 10:48:43,0.00189 cores
2025-07-07 10:48:44,0.00189 cores
2025-07-07 10:48:45,0.00244 cores
2025-07-07 10:48:46,0.00244 cores
2025-07-07 10:48:47,0.00244 cores
2025-07-07 10:48:48,0.00244 cores
2025-07-07 10:48:49,0.00244 cores
2025-07-07 10:48:50,0.00244 cores
2025-07-07 10:48:51,0.00244 cores
2025-07-07 10:48:52,0.00244 cores
2025-07-07 10:48:53,0.00244 cores
2025-07-07 10:48:54,0.00244 cores
2025-07-07 10:48:55,0.00244 cores
2025-07-07 10:48:56,0.00244 cores
2025-07-07 10:48:57,0.00244 cores
2025-07-07 10:48:58,0.00647 cores
2025-07-07 10:48:59,0.00647 cores
2025-07-07 10:49:00,0.00647 cores
2025-07-07 10:49:01,0.00647 cores
2025-07-07 10:49:02,0.00647 cores
2025-07-07 10:49:03,0.00647 cores
2025-07-07 10:49:04,0.00959 cores
2025-07-07 10:49:05,0.00959 cores
2025-07-07 10:49:06,0.00959 cores
2025-07-07 10:49:07,0.00959 cores
2025-07-07 10:49:08,0.00959 cores
2025-07-07 10:49:09,0.0106 cores
2025-07-07 10:49:10,0.0106 cores
2025-07-07 10:49:11,0.0106 cores
2025-07-07 10:49:12,0.0106 cores
2025-07-07 10:49:13,0.0106 cores
2025-07-07 10:49:14,0.0106 cores
2025-07-07 10:49:15,0.0106 cores
2025-07-07 10:49:16,0.0106 cores
2025-07-07 10:49:17,0.0106 cores
2025-07-07 10:49:18,0.0106 cores
2025-07-07 10:49:19,0.0106 cores
2025-07-07 10:49:20,0.0106 cores
2025-07-07 10:49:21,0.0106 cores
2025-07-07 10:49:22,0.0106 cores
2025-07-07 10:49:23,0.0139 cores
2025-07-07 10:49:24,0.0139 cores
2025-07-07 10:49:25,0.0137 cores
2025-07-07 10:49:26,0.0137 cores
2025-07-07 10:49:27,0.0137 cores
2025-07-07 10:49:28,0.0137 cores
2025-07-07 10:49:29,0.0137 cores
2025-07-07 10:49:30,0.0137 cores
2025-07-07 10:49:31,0.0137 cores
2025-07-07 10:49:32,0.0137 cores
2025-07-07 10:49:33,0.0137 cores
2025-07-07 10:49:34,0.0137 cores
2025-07-07 10:49:35,0.0137 cores
2025-07-07 10:49:36,0.0137 cores
2025-07-07 10:49:37,0.0137 cores
2025-07-07 10:49:38,0.0137 cores
2025-07-07 10:49:39,0.00907 cores
2025-07-07 10:49:40,0.00907 cores
2025-07-07 10:49:41,0.00907 cores
2025-07-07 10:49:42,0.00907 cores
2025-07-07 10:49:43,0.0109 cores
2025-07-07 10:49:44,0.0106 cores
2025-07-07 10:49:45,0.0104 cores
2025-07-07 10:49:46,0.0102 cores
2025-07-07 10:49:47,0.00995 cores
2025-07-07 10:49:48,0.00972 cores
2025-07-07 10:49:49,0.00950 cores
2025-07-07 10:49:50,0.0140 cores
2025-07-07 10:49:51,0.0140 cores
2025-07-07 10:49:52,0.0140 cores
2025-07-07 10:49:53,0.0140 cores
2025-07-07 10:49:54,0.0140 cores
2025-07-07 10:49:55,0.0140 cores
2025-07-07 10:49:56,0.0140 cores
2025-07-07 10:49:57,0.0140 cores
2025-07-07 10:49:58,0.0140 cores
2025-07-07 10:49:59,0.0140 cores
2025-07-07 10:50:00,0.0140 cores
2025-07-07 10:50:01,0.0140 cores
2025-07-07 10:50:02,0.0140 cores
2025-07-07 10:50:03,0.0140 cores
2025-07-07 10:50:04,0.0140 cores
2025-07-07 10:50:05,0.0140 cores
2025-07-07 10:50:06,0.0140 cores
2025-07-07 10:50:07,0.0140 cores
2025-07-07 10:50:08,0.0140 cores
2025-07-07 10:50:09,0.0144 cores
2025-07-07 10:50:10,0.0144 cores
2025-07-07 10:50:11,0.0144 cores
2025-07-07 10:50:12,0.0144 cores
2025-07-07 10:50:13,0.0144 cores
2025-07-07 10:50:14,0.0144 cores
2025-07-07 10:50:15,0.0144 cores
2025-07-07 10:50:16,0.0144 cores
2025-07-07 10:50:17,0.0107 cores
2025-07-07 10:50:18,0.0105 cores
2025-07-07 10:50:19,0.0142 cores
2025-07-07 10:50:20,0.0142 cores
2025-07-07 10:50:21,0.0142 cores
2025-07-07 10:50:22,0.0142 cores
2025-07-07 10:50:23,0.0142 cores
2025-07-07 10:50:24,0.0142 cores
2025-07-07 10:50:25,0.0140 cores
2025-07-07 10:50:26,0.0140 cores
2025-07-07 10:50:27,0.0140 cores
2025-07-07 10:50:28,0.0140 cores
