"Time","image-stats-746c9bfb67-85h7x"
2025-07-07 10:50:06,0.0125 cores
2025-07-07 10:50:07,0.0125 cores
2025-07-07 10:50:08,0.0125 cores
2025-07-07 10:50:09,0.0125 cores
2025-07-07 10:50:10,0.0125 cores
2025-07-07 10:50:11,0.0125 cores
2025-07-07 10:50:12,0.0125 cores
2025-07-07 10:50:13,0.0125 cores
2025-07-07 10:50:14,0.0125 cores
2025-07-07 10:50:15,0.0125 cores
2025-07-07 10:50:16,0.0125 cores
2025-07-07 10:50:17,0.0126 cores
2025-07-07 10:50:18,0.0126 cores
2025-07-07 10:50:19,0.0126 cores
2025-07-07 10:50:20,0.0126 cores
2025-07-07 10:50:21,0.0126 cores
2025-07-07 10:50:22,0.0109 cores
2025-07-07 10:50:23,0.0107 cores
2025-07-07 10:50:24,0.0105 cores
2025-07-07 10:50:25,0.0103 cores
2025-07-07 10:50:26,0.0101 cores
2025-07-07 10:50:27,0.00990 cores
2025-07-07 10:50:28,0.00969 cores
2025-07-07 10:50:29,0.00934 cores
2025-07-07 10:50:30,0.00914 cores
2025-07-07 10:50:31,0.00893 cores
2025-07-07 10:50:32,0.00872 cores
2025-07-07 10:50:33,0.00942 cores
2025-07-07 10:50:34,0.00942 cores
2025-07-07 10:50:35,0.00942 cores
2025-07-07 10:50:36,0.00942 cores
2025-07-07 10:50:37,0.00942 cores
2025-07-07 10:50:38,0.00942 cores
2025-07-07 10:50:39,0.00942 cores
2025-07-07 10:50:40,0.00942 cores
2025-07-07 10:50:41,0.00942 cores
2025-07-07 10:50:42,0.00942 cores
2025-07-07 10:50:43,0.00852 cores
2025-07-07 10:50:44,0.00852 cores
2025-07-07 10:50:45,0.00852 cores
2025-07-07 10:50:46,0.00852 cores
2025-07-07 10:50:47,0.00852 cores
2025-07-07 10:50:48,0.00638 cores
2025-07-07 10:50:49,0.00638 cores
2025-07-07 10:50:50,0.00638 cores
2025-07-07 10:50:51,0.00638 cores
2025-07-07 10:50:52,0.00638 cores
2025-07-07 10:50:53,0.00638 cores
2025-07-07 10:50:54,0.00638 cores
2025-07-07 10:50:55,0.00431 cores
2025-07-07 10:50:56,0.00431 cores
2025-07-07 10:50:57,0.00431 cores
2025-07-07 10:50:58,0.00431 cores
2025-07-07 10:50:59,0.00431 cores
2025-07-07 10:51:00,0.00431 cores
2025-07-07 10:51:01,0.00345 cores
2025-07-07 10:51:02,0.00345 cores
2025-07-07 10:51:03,0.00345 cores
2025-07-07 10:51:04,0.00345 cores
2025-07-07 10:51:05,0.00345 cores
2025-07-07 10:51:06,0.00345 cores
2025-07-07 10:51:07,0.00345 cores
2025-07-07 10:51:08,0.000523 cores
2025-07-07 10:51:09,0.000535 cores
2025-07-07 10:51:10,0.000548 cores
2025-07-07 10:51:11,0.000560 cores
2025-07-07 10:51:12,0.000568 cores
2025-07-07 10:51:13,0.000581 cores
2025-07-07 10:51:14,0.000593 cores
2025-07-07 10:51:15,0.000606 cores
2025-07-07 10:51:16,0.000618 cores
2025-07-07 10:51:17,0.000631 cores
2025-07-07 10:51:18,0.000643 cores
2025-07-07 10:51:19,0.000750 cores
2025-07-07 10:51:20,0.000750 cores
2025-07-07 10:51:21,0.000750 cores
2025-07-07 10:51:22,0.000750 cores
2025-07-07 10:51:23,0.000750 cores
2025-07-07 10:51:24,0.000750 cores
2025-07-07 10:51:25,0.000750 cores
2025-07-07 10:51:26,0.000651 cores
2025-07-07 10:51:27,0.000638 cores
2025-07-07 10:51:28,0.000626 cores
2025-07-07 10:51:29,0.000613 cores
2025-07-07 10:51:30,0.000601 cores
