"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:19:20,0.000890 cores
2025-07-07 15:19:22,0.000890 cores
2025-07-07 15:19:24,0.000874 cores
2025-07-07 15:19:26,0.000874 cores
2025-07-07 15:19:28,0.000874 cores
2025-07-07 15:19:30,0.000853 cores
2025-07-07 15:19:32,0.000853 cores
2025-07-07 15:19:34,0.000853 cores
2025-07-07 15:19:36,0.000853 cores
2025-07-07 15:19:38,0.000853 cores
2025-07-07 15:19:40,0.000853 cores
2025-07-07 15:19:42,0.000697 cores
2025-07-07 15:19:44,0.000869 cores
2025-07-07 15:19:46,0.000869 cores
2025-07-07 15:19:48,0.000869 cores
2025-07-07 15:19:50,0.000872 cores
2025-07-07 15:19:52,0.000872 cores
2025-07-07 15:19:54,0.000872 cores
2025-07-07 15:19:56,0.000879 cores
2025-07-07 15:19:58,0.000879 cores
2025-07-07 15:20:00,0.000879 cores
2025-07-07 15:20:02,0.000879 cores
2025-07-07 15:20:04,0.000879 cores
2025-07-07 15:20:06,0.000898 cores
2025-07-07 15:20:08,0.000898 cores
2025-07-07 15:20:10,0.000898 cores
2025-07-07 15:20:12,0.000898 cores
2025-07-07 15:20:14,0.000745 cores
2025-07-07 15:20:16,0.000888 cores
2025-07-07 15:20:18,0.000888 cores
2025-07-07 15:20:20,0.000888 cores
2025-07-07 15:20:22,0.000888 cores
2025-07-07 15:20:24,0.000729 cores
2025-07-07 15:20:26,0.000883 cores
2025-07-07 15:20:28,0.000883 cores
2025-07-07 15:20:30,0.000883 cores
2025-07-07 15:20:32,0.000737 cores
2025-07-07 15:20:34,0.000898 cores
2025-07-07 15:20:36,0.000898 cores
2025-07-07 15:20:38,0.000898 cores
2025-07-07 15:20:40,0.000898 cores
2025-07-07 15:20:42,0.000898 cores
2025-07-07 15:20:44,0.000897 cores
2025-07-07 15:20:46,0.000897 cores
2025-07-07 15:20:48,0.000838 cores
2025-07-07 15:20:50,0.000838 cores
2025-07-07 15:20:52,0.000838 cores
2025-07-07 15:20:54,0.000838 cores
2025-07-07 15:20:56,0.000819 cores
2025-07-07 15:20:58,0.000819 cores
2025-07-07 15:21:00,0.000843 cores
