"Time","image-filter-cfbfd9b5f-wxs72"
2025-07-07 15:26:20,0.000923 cores
2025-07-07 15:26:22,0.000923 cores
2025-07-07 15:26:24,0.000923 cores
2025-07-07 15:26:26,0.000923 cores
2025-07-07 15:26:28,0.000908 cores
2025-07-07 15:26:30,0.000908 cores
2025-07-07 15:26:32,0.000950 cores
2025-07-07 15:26:34,0.000950 cores
2025-07-07 15:26:36,0.000950 cores
2025-07-07 15:26:38,0.000950 cores
2025-07-07 15:26:40,0.000950 cores
2025-07-07 15:26:42,0.000950 cores
2025-07-07 15:26:44,0.000950 cores
2025-07-07 15:26:46,0.000944 cores
2025-07-07 15:26:48,0.000944 cores
2025-07-07 15:26:50,0.000903 cores
2025-07-07 15:26:52,0.000903 cores
2025-07-07 15:26:54,0.000903 cores
2025-07-07 15:26:56,0.000903 cores
2025-07-07 15:26:58,0.000908 cores
2025-07-07 15:27:00,0.000908 cores
2025-07-07 15:27:02,0.000908 cores
2025-07-07 15:27:04,0.000908 cores
2025-07-07 15:27:06,0.000908 cores
2025-07-07 15:27:08,0.000908 cores
2025-07-07 15:27:10,0.000773 cores
2025-07-07 15:27:12,0.000928 cores
2025-07-07 15:27:14,0.000783 cores
2025-07-07 15:27:16,0.000752 cores
2025-07-07 15:27:18,0.000957 cores
2025-07-07 15:27:20,0.000957 cores
2025-07-07 15:27:22,0.000957 cores
2025-07-07 15:27:24,0.000957 cores
2025-07-07 15:27:26,0.000957 cores
2025-07-07 15:27:28,0.000970 cores
2025-07-07 15:27:30,0.000970 cores
2025-07-07 15:27:32,0.000970 cores
2025-07-07 15:27:34,0.000942 cores
2025-07-07 15:27:36,0.000942 cores
2025-07-07 15:27:38,0.000942 cores
2025-07-07 15:27:40,0.000942 cores
2025-07-07 15:27:42,0.000942 cores
2025-07-07 15:27:44,0.000942 cores
2025-07-07 15:27:46,0.000949 cores
2025-07-07 15:27:48,0.000949 cores
2025-07-07 15:27:50,0.000949 cores
2025-07-07 15:27:52,0.000949 cores
2025-07-07 15:27:54,0.000919 cores
2025-07-07 15:27:56,0.000919 cores
2025-07-07 15:27:58,0.000875 cores
2025-07-07 15:28:00,0.000875 cores
2025-07-07 15:28:02,0.000875 cores
2025-07-07 15:28:04,0.000875 cores
2025-07-07 15:28:06,0.000875 cores
2025-07-07 15:28:08,0.000875 cores
2025-07-07 15:28:10,0.000904 cores
2025-07-07 15:28:12,0.000904 cores
2025-07-07 15:28:14,0.000904 cores
2025-07-07 15:28:16,0.000904 cores
2025-07-07 15:28:18,0.000912 cores
2025-07-07 15:28:20,0.000912 cores
2025-07-07 15:28:22,0.000912 cores
2025-07-07 15:28:24,0.000912 cores
2025-07-07 15:28:26,0.000898 cores
2025-07-07 15:28:28,0.000898 cores
2025-07-07 15:28:30,0.000898 cores
2025-07-07 15:28:32,0.000898 cores
2025-07-07 15:28:34,0.000742 cores
2025-07-07 15:28:36,0.000919 cores
2025-07-07 15:28:38,0.000919 cores
2025-07-07 15:28:40,0.000919 cores
2025-07-07 15:28:42,0.000919 cores
2025-07-07 15:28:44,0.000755 cores
2025-07-07 15:28:46,0.000725 cores
2025-07-07 15:28:48,0.000694 cores
2025-07-07 15:28:50,0.000925 cores
2025-07-07 15:28:52,0.000925 cores
2025-07-07 15:28:54,0.000906 cores
2025-07-07 15:28:56,0.000906 cores
2025-07-07 15:28:58,0.000906 cores
2025-07-07 15:29:00,0.000906 cores
2025-07-07 15:29:02,0.000906 cores
2025-07-07 15:29:04,0.000906 cores
2025-07-07 15:29:06,0.000911 cores
2025-07-07 15:29:08,0.000911 cores
2025-07-07 15:29:10,0.000929 cores
2025-07-07 15:29:12,0.000929 cores
2025-07-07 15:29:14,0.000929 cores
2025-07-07 15:29:16,0.000929 cores
2025-07-07 15:29:18,0.000929 cores
2025-07-07 15:29:20,0.000929 cores
2025-07-07 15:29:22,0.000929 cores
2025-07-07 15:29:24,0.000928 cores
2025-07-07 15:29:26,0.000702 cores
2025-07-07 15:29:28,0.000732 cores
2025-07-07 15:29:30,0.000763 cores
2025-07-07 15:29:32,0.000925 cores
2025-07-07 15:29:34,0.000925 cores
2025-07-07 15:29:36,0.000925 cores
2025-07-07 15:29:38,0.000925 cores
2025-07-07 15:29:40,0.000925 cores
2025-07-07 15:29:42,0.000748 cores
2025-07-07 15:29:44,0.000717 cores
2025-07-07 15:29:46,0.000686 cores
2025-07-07 15:29:48,0.000909 cores
2025-07-07 15:29:50,0.000903 cores
2025-07-07 15:29:52,0.000903 cores
2025-07-07 15:29:54,0.000903 cores
2025-07-07 15:29:56,0.000903 cores
2025-07-07 15:29:58,0.000903 cores
2025-07-07 15:30:00,0.000903 cores
2025-07-07 15:30:02,0.000903 cores
2025-07-07 15:30:04,0.000905 cores
2025-07-07 15:30:06,0.000896 cores
2025-07-07 15:30:08,0.000896 cores
2025-07-07 15:30:10,0.000896 cores
2025-07-07 15:30:12,0.000896 cores
2025-07-07 15:30:14,0.000896 cores
2025-07-07 15:30:16,0.000896 cores
2025-07-07 15:30:18,0.000840 cores
2025-07-07 15:30:20,0.000840 cores
2025-07-07 15:30:22,0.000840 cores
2025-07-07 15:30:24,0.000607 cores
2025-07-07 15:30:26,0.000633 cores
2025-07-07 15:30:28,0.000660 cores
2025-07-07 15:30:30,0.000663 cores
2025-07-07 15:30:32,0.000786 cores
2025-07-07 15:30:34,0.000786 cores
2025-07-07 15:30:36,0.000786 cores
2025-07-07 15:30:38,0.000786 cores
2025-07-07 15:30:40,0.000786 cores
2025-07-07 15:30:42,0.000768 cores
2025-07-07 15:30:44,0.000768 cores
2025-07-07 15:30:46,0.000768 cores
2025-07-07 15:30:48,0.000712 cores
2025-07-07 15:30:50,0.000712 cores
2025-07-07 15:30:52,0.000712 cores
2025-07-07 15:30:54,0.000712 cores
2025-07-07 15:30:56,0.000712 cores
2025-07-07 15:30:58,0.000600 cores
2025-07-07 15:31:00,0.000576 cores
2025-07-07 15:31:02,0.000552 cores
2025-07-07 15:31:04,0.000726 cores
2025-07-07 15:31:06,0.000726 cores
2025-07-07 15:31:08,0.000726 cores
2025-07-07 15:31:10,0.000726 cores
2025-07-07 15:31:12,0.000726 cores
2025-07-07 15:31:14,0.000726 cores
2025-07-07 15:31:16,0.000726 cores
2025-07-07 15:31:18,0.000721 cores
2025-07-07 15:31:20,0.000721 cores
2025-07-07 15:31:22,0.000721 cores
2025-07-07 15:31:24,0.000583 cores
2025-07-07 15:31:26,0.000559 cores
2025-07-07 15:31:28,0.000535 cores
2025-07-07 15:31:30,0.000545 cores
2025-07-07 15:31:32,0.000520 cores
2025-07-07 15:31:34,0.000496 cores
2025-07-07 15:31:36,0.000733 cores
2025-07-07 15:31:38,0.000733 cores
2025-07-07 15:31:40,0.000733 cores
2025-07-07 15:31:42,0.000735 cores
2025-07-07 15:31:44,0.000735 cores
2025-07-07 15:31:46,0.000735 cores
2025-07-07 15:31:48,0.000735 cores
2025-07-07 15:31:50,0.000735 cores
2025-07-07 15:31:52,0.000735 cores
2025-07-07 15:31:54,0.000712 cores
2025-07-07 15:31:56,0.000712 cores
2025-07-07 15:31:58,0.000712 cores
2025-07-07 15:32:00,0.000712 cores
